npc_id,msg1,msg2,msg3
1,"Hello there.","Nice day, isn't it?","Safe travels."
2,"Need something?","Make it quick.","I’ve got work to do."
3,"Welcome!","Have a look around.","Let me know if you need help."
4,"Stay vigilant.","Danger's always nearby.","Keep your weapon ready."
5,"Haven’t seen you before.","You new in town?","Watch yourself around here."
6,"Looking to trade?","Prices are fair.","No refunds."
7,"Careful on the roads.","Bandits have been bold.","Travel in groups."
8,"Greetings, traveler.","May fortune guide you.","Mind the local laws."
9,"Feeling hungry?","Best stew in town.","Don’t ask what's in it."
10,"Quiet day so far.","Hope it stays that way.","Let me know if you notice anything odd."
